emotion,config_type,required,alternatives,special
surprise,prototype,1+2+5+26,,5B
surprise,prototype,1+2+5+27,,5B
surprise,variant,1+2+5,,5B
surprise,variant,1+2+26,,
surprise,variant,1+2+27,,
surprise,variant,5+26,,5B
surprise,variant,5+27,,5B
fear,prototype,1+2+4+5+20,"25,26,27",
fear,prototype,1+2+4+5,"25,26,27",
fear,variant,1+2+4+5+20,"25,26,27",U20
fear,variant,1+2+4+5,,
fear,variant,1+2+5,,5Z
fear,variant,1+2+5,"25,26,27",5Z
fear,variant,5+20,,
fear,variant,5+20,"25,26,27",
happy,prototype,6+12,,
happy,prototype,12,,12CD
sadness,prototype,1+4+11+15,,15B
sadness,prototype,1+4+11+15,"25,26",15B
sadness,prototype,1+4+11+15+54+64,,15B
sadness,prototype,1+4+11+15+54+64,"25,26",15B
sadness,prototype,1+4+15,,
sadness,prototype,1+4+15,"25,26",
sadness,prototype,1+4+15+54+64,,
sadness,prototype,1+4+15+54+64,"25,26",
sadness,prototype,6+15,,
sadness,prototype,6+15,"25,26",
sadness,prototype,6+15+54+64,,
sadness,prototype,6+15+54+64,"25,26",
sadness,variant,1+4+11,,
sadness,variant,1+4+11,"25,26",
sadness,variant,1+4+11+54+64,,
sadness,variant,1+4+11+54+64,"25,26",
sadness,variant,1+4+15+17,,15B
sadness,variant,1+4+15+17,"25,26",15B
sadness,variant,1+4+15+17+54+64,,15B
sadness,variant,1+4+15+17+54+64,"25,26",15B
sadness,variant,11+15,,15B
sadness,variant,11+15,"25,26",15B
sadness,variant,11+15+54+64,,15B
sadness,variant,11+15+54+64,"25,26",15B
sadness,variant,11+17,,
sadness,variant,11+17,"25,26",
disgust,prototype,9,,
disgust,prototype,9+16,"15,26",
disgust,prototype,9+17,,
disgust,prototype,10,,
disgust,prototype,10+16,"25,26",
disgust,prototype,10+17,,
anger,prototype,4+5+7+10+22+23,"25,26",
anger,prototype,4+5+7+10+23,"25,26",
anger,prototype,4+5+7+23,"25,26",
anger,prototype,4+5+7+17+23,,
anger,prototype,4+5+7+17+24,,
anger,prototype,4+5+7+23,,
anger,prototype,4+5+7+24,,
anger,variant,5+7+10+22+23,"25,26",
anger,variant,4+7+10+22+23,"25,26",
anger,variant,4+5+10+22+23,"25,26",
anger,variant,4+5+7+22+23,"25,26",
anger,variant,5+7+10+23,"25,26",
anger,variant,4+7+10+23,"25,26",
anger,variant,4+5+10+23,"25,26",
anger,variant,5+7+23,"25,26",
anger,variant,4+7+23,"25,26",
anger,variant,4+5+23,"25,26",
anger,variant,5+7+17+23,,
anger,variant,4+7+17+23,,
anger,variant,4+5+17+23,,
anger,variant,5+7+17+24,,
anger,variant,4+7+17+24,,
anger,variant,4+5+17+24,,
anger,variant,5+7+23,,
anger,variant,4+7+23,,
anger,variant,4+5+23,,
anger,variant,5+7+24,,
anger,variant,4+7+24,,
anger,variant,4+5+24,,
